seasonId,teamAbbrev,pointPctg,winPctg,goalsForPctg,goalDifferentialPctg,wildcardSequence
20082009,NJD,0.646341,0.621951,2.97561,0.426829,0
20082009,NSH,0.536585,0.487805,2.597561,-0.243902,0
20082009,NYI,0.371951,0.317073,2.45122,-0.95122,0
20082009,NYR,0.579268,0.52439,2.560976,-0.097561,0
20082009,OTT,0.506098,0.439024,2.646341,-0.243902,0
20082009,PHI,0.603659,0.536585,3.219512,0.317073,0
20082009,PHX,0.481707,0.439024,2.536585,-0.536585,0
20082009,PIT,0.603659,0.54878,3.219512,0.304878,0
20082009,SJS,0.713415,0.646341,3.134146,0.646341,0
20082009,STL,0.560976,0.5,2.841463,0,0
20082009,TBL,0.402439,0.292683,2.560976,-0.841463,0
20082009,TOR,0.493902,0.414634,3.04878,-0.52439,0
20082009,VAN,0.609756,0.54878,3,0.317073,0
20082009,WSH,0.658537,0.609756,3.317073,0.329268,0
20092010,ANA,0.542683,0.47561,2.902439,-0.158537,0
20092010,ATL,0.506098,0.426829,2.853659,-0.268293,0
20092010,BOS,0.554878,0.47561,2.512195,0.073171,0
20092010,BUF,0.609756,0.54878,2.865854,0.341463,0
20092010,CAR,0.487805,0.426829,2.804878,-0.317073,0
20092010,CBJ,0.481707,0.390244,2.634146,-0.52439,0
20092010,CGY,0.54878,0.487805,2.487805,-0.073171,0
20092010,CHI,0.682927,0.634146,3.304878,0.756098,0
20092010,COL,0.579268,0.52439,2.97561,0.134146,0
20092010,DAL,0.536585,0.45122,2.890244,-0.207317,0
20092010,DET,0.621951,0.536585,2.792683,0.158537,0
20092010,EDM,0.378049,0.329268,2.609756,-0.853659,0
20092010,FLA,0.469512,0.390244,2.536585,-0.439024,0
20092010,LAK,0.615854,0.560976,2.939024,0.268293,0
20092010,MIN,0.512195,0.463415,2.670732,-0.329268,0
20092010,MTL,0.536585,0.47561,2.646341,-0.073171,0
20092010,NJD,0.628049,0.585366,2.707317,0.378049,0
20092010,NSH,0.609756,0.573171,2.743902,0,0
20092010,NYI,0.481707,0.414634,2.707317,-0.512195,0
20092010,NYR,0.530488,0.463415,2.707317,0.04878,0
20092010,OTT,0.573171,0.536585,2.743902,-0.158537,0
20092010,PHI,0.536585,0.5,2.878049,0.134146,0
20092010,PHX,0.652439,0.609756,2.743902,0.280488,0
20092010,PIT,0.615854,0.573171,3.134146,0.243902,0
20092010,SJS,0.689024,0.621951,3.219512,0.597561,0
20092010,STL,0.54878,0.487805,2.743902,0.02439,0
20092010,TBL,0.487805,0.414634,2.646341,-0.52439,0
20092010,TOR,0.45122,0.365854,2.609756,-0.646341,0
20092010,VAN,0.628049,0.597561,3.317073,0.609756,0
20092010,WSH,0.737805,0.658537,3.878049,1.036585,0
20102011,ANA,0.603659,0.573171,2.914634,0.04878,0
20102011,ATL,0.487805,0.414634,2.719512,-0.560976,0
20102011,BOS,0.628049,0.560976,3,0.621951,0
20102011,BUF,0.585366,0.52439,2.987805,0.195122,0
20102011,CAR,0.554878,0.487805,2.878049,-0.036585,0
20102011,CBJ,0.493902,0.414634,2.621951,-0.52439,0
20102011,CGY,0.573171,0.5,3.04878,0.158537,0
20102011,CHI,0.591463,0.536585,3.146341,0.402439,0
20102011,COL,0.414634,0.365854,2.768293,-0.743902,0
20102011,DAL,0.579268,0.512195,2.768293,-0.073171,0
20102011,DET,0.634146,0.573171,3.182927,0.243902,0
20102011,EDM,0.378049,0.304878,2.353659,-0.926829,0
20102011,FLA,0.439024,0.365854,2.378049,-0.414634,0
20102011,LAK,0.597561,0.560976,2.670732,0.256098,0
20102011,MIN,0.52439,0.47561,2.512195,-0.329268,0
20102011,MTL,0.585366,0.536585,2.634146,0.085366,0
20102011,NJD,0.493902,0.463415,2.121951,-0.426829,0
20102011,NSH,0.603659,0.536585,2.670732,0.304878,0
20102011,NYI,0.445122,0.365854,2.792683,-0.426829,0
20102011,NYR,0.567073,0.536585,2.841463,0.426829,0
20102011,OTT,0.45122,0.390244,2.341463,-0.707317,0
20102011,PHI,0.646341,0.573171,3.158537,0.439024,0
20102011,PHX,0.603659,0.52439,2.817073,0.060976,0
20102011,PIT,0.646341,0.597561,2.902439,0.47561,0
20102011,SJS,0.640244,0.585366,3.02439,0.426829,0
20102011,STL,0.530488,0.463415,2.926829,0.073171,0
20102011,TBL,0.628049,0.560976,3.012195,0.085366,0
20102011,TOR,0.518293,0.45122,2.658537,-0.402439,0
20102011,VAN,0.713415,0.658537,3.195122,0.939024,0
20102011,WSH,0.652439,0.585366,2.731707,0.329268,0
20112012,ANA,0.487805,0.414634,2.487805,-0.329268,0
20112012,BOS,0.621951,0.597561,3.280488,0.817073,0
20112012,BUF,0.542683,0.47561,2.658537,-0.146341,0
20112012,CAR,0.5,0.402439,2.597561,-0.365854,0
20112012,CBJ,0.396341,0.353659,2.463415,-0.731707,0
20112012,CGY,0.54878,0.45122,2.463415,-0.292683,0
20112012,CHI,0.615854,0.54878,3.02439,0.121951,0
20112012,COL,0.536585,0.5,2.536585,-0.146341,0
20112012,DAL,0.542683,0.512195,2.573171,-0.134146,0
20112012,DET,0.621951,0.585366,3.02439,0.54878,0
20112012,EDM,0.45122,0.390244,2.585366,-0.329268,0
20112012,FLA,0.573171,0.463415,2.47561,-0.292683,0
20112012,LAK,0.579268,0.487805,2.365854,0.182927,0
20112012,MIN,0.493902,0.426829,2.158537,-0.597561,0
20112012,MTL,0.47561,0.378049,2.585366,-0.170732,0
20112012,NJD,0.621951,0.585366,2.780488,0.231707,0
20112012,NSH,0.634146,0.585366,2.890244,0.329268,0
20112012,NYI,0.481707,0.414634,2.47561,-0.634146,0
20112012,NYR,0.664634,0.621951,2.756098,0.47561,0
20112012,OTT,0.560976,0.5,3.036585,0.109756,0
20112012,PHI,0.628049,0.573171,3.219512,0.390244,0
20112012,PHX,0.591463,0.512195,2.634146,0.146341,0
20112012,PIT,0.658537,0.621951,3.439024,0.743902,0
20112012,SJS,0.585366,0.52439,2.780488,0.219512,0
20112012,STL,0.664634,0.597561,2.560976,0.54878,0
20112012,TBL,0.512195,0.463415,2.865854,-0.560976,0
20112012,TOR,0.487805,0.426829,2.817073,-0.402439,0
20112012,VAN,0.676829,0.621951,3.036585,0.621951,0
20112012,WPG,0.512195,0.45122,2.743902,-0.256098,0
20112012,WSH,0.560976,0.512195,2.707317,-0.097561,0
20122013,ANA,0.6875,0.625,2.916667,0.458333,0
20122013,BOS,0.645833,0.583333,2.729167,0.458333,0
20122013,BUF,0.5,0.4375,2.604167,-0.375,0
20122013,CAR,0.4375,0.395833,2.666667,-0.666667,0
20122013,CBJ,0.572917,0.5,2.5,0.020833,0
20122013,CGY,0.4375,0.395833,2.666667,-0.666667,0
20122013,CHI,0.802083,0.75,3.229167,1.104167,0
20122013,COL,0.40625,0.333333,2.416667,-0.75,0
20122013,DAL,0.5,0.458333,2.708333,-0.25,0
20122013,DET,0.583333,0.5,2.583333,0.1875,0
20122013,EDM,0.46875,0.395833,2.604167,-0.1875,0
20122013,FLA,0.375,0.3125,2.333333,-1.229167,0
20122013,LAK,0.614583,0.5625,2.770833,0.3125,0
20122013,MIN,0.572917,0.541667,2.541667,-0.104167,0
20122013,MTL,0.65625,0.604167,3.104167,0.479167,0
20122013,NJD,0.5,0.395833,2.333333,-0.354167,0
20122013,NSH,0.427083,0.333333,2.3125,-0.583333,0
20122013,NYI,0.572917,0.5,2.895833,0,0
20122013,NYR,0.583333,0.541667,2.708333,0.375,0
20122013,OTT,0.583333,0.520833,2.416667,0.25,0
20122013,PHI,0.510417,0.479167,2.770833,-0.166667,0
20122013,PHX,0.53125,0.4375,2.604167,-0.125,0
20122013,PIT,0.75,0.75,3.4375,0.958333,0
20122013,SJS,0.59375,0.520833,2.583333,0.166667,0
20122013,STL,0.625,0.604167,2.6875,0.291667,0
20122013,TBL,0.416667,0.375,3.083333,-0.041667,0
20122013,TOR,0.59375,0.541667,3.020833,0.25,0
20122013,VAN,0.614583,0.541667,2.645833,0.125,0
20122013,WPG,0.53125,0.5,2.666667,-0.333333,0
20122013,WSH,0.59375,0.5625,3.104167,0.395833,0
20132014,ANA,0.707317,0.658537,3.243902,0.695122,0
20132014,BOS,0.713415,0.658537,3.182927,1.02439,0
20132014,BUF,0.317073,0.256098,1.914634,-1.109756,10
20132014,CAR,0.506098,0.439024,2.52439,-0.280488,7
20132014,CBJ,0.567073,0.52439,2.817073,0.182927,1
20132014,CGY,0.469512,0.426829,2.54878,-0.390244,7
20132014,CHI,0.652439,0.560976,3.256098,0.573171,0
20132014,COL,0.682927,0.634146,3.04878,0.365854,0
20132014,DAL,0.554878,0.487805,2.865854,0.085366,2
20132014,DET,0.567073,0.47561,2.707317,-0.097561,2
20132014,EDM,0.408537,0.353659,2.47561,-0.817073,8
